task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
149	45/f8a417	93891641	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (DIPOR13719)	COMPLETED	0	2024-01-23 15:15:27.825	14h 1m 23s	1h 8m 27s	1344.3%	68.7 GB	135.4 GB	265.4 KB	237.1 KB
154	a4/884f4b	93891642	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (ECHTE07154)	COMPLETED	0	2024-01-23 15:15:29.044	14h 1m 22s	1h 6m 2s	1399.6%	68.7 GB	135.4 GB	265.4 KB	237.1 KB
426	7c/aed259	93899039	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SHEEP08803)	COMPLETED	0	2024-01-24 05:16:53.722	37.7s	1s	92.4%	11.4 MB	52 MB	10.1 MB	641 B
165	8c/e2043a	93891645	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (ERIEU04219)	COMPLETED	0	2024-01-23 15:15:32.357	14h 2m 24s	1h 5m 37s	1423.3%	68.7 GB	135.4 GB	265.4 KB	237.1 KB
158	9a/f6600f	93891647	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (ELEEL25818)	COMPLETED	0	2024-01-23 15:15:34.789	14h 4m 26s	1h 5m 56s	1428.4%	68.7 GB	135.4 GB	265.8 KB	69.3 KB
429	4a/2e49d3	93899048	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (VOMUR19877)	COMPLETED	0	2024-01-24 05:20:02.290	9s	139ms	58.1%	2.8 MB	35.2 MB	97.2 KB	900 B
431	bf/bcab2a	93899049	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SPAAU51968)	COMPLETED	0	2024-01-24 05:20:12.229	14.1s	1.3s	103.4%	50.4 MB	308.6 MB	10.1 MB	633 B
160	77/5e6c59	93891651	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (EQUAS25630)	COMPLETED	0	2024-01-23 15:15:39.643	15h 8m 37s	1h 7m 15s	1379.2%	68.7 GB	135.4 GB	265.4 KB	237.1 KB
430	e3/969660	93899503	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SINGR69938)	COMPLETED	0	2024-01-24 06:24:17.563	8.9s	1.3s	92.7%	8.5 MB	44 MB	10.1 MB	629 B
169	69/f0fe5d	93891655	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (FALTI22066)	COMPLETED	0	2024-01-23 15:15:43.849	15h 9m 43s	1h 7m 29s	1385.5%	68.7 GB	135.4 GB	265.3 KB	249.6 KB
448	0a/46e07b	93899559	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TAKRU38294)	COMPLETED	0	2024-01-24 06:25:27.522	13.9s	1s	91.5%	9.8 MB	50.7 MB	10.1 MB	641 B
166	cc/94c750	93891650	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (ESOLU36631)	COMPLETED	0	2024-01-23 15:15:38.092	15h 10m 13s	1h 8m 26s	1349.9%	68.7 GB	135.4 GB	265.3 KB	72.2 KB
428	59/99d411	93899573	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (VARKO11555)	COMPLETED	0	2024-01-24 06:25:42.465	14s	163ms	66.5%	2.8 MB	34.7 MB	97.2 KB	900 B
447	d9/ad3e67	93899583	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (XIPMA16239)	COMPLETED	0	2024-01-24 06:25:52.438	39.1s	141ms	38.5%	3 MB	35.2 MB	96.6 KB	893 B
440	b2/179ad9	93899619	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TACAU30629)	COMPLETED	0	2024-01-24 06:26:32.586	8.9s	1.3s	89.9%	8.5 MB	50.3 MB	10.1 MB	629 B
439	34/99efc2	93899629	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SURSU12211)	COMPLETED	0	2024-01-24 06:26:42.471	14s	1.3s	92.3%	8.5 MB	50.3 MB	10.1 MB	629 B
434	af/c70914	93899642	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (STRHB20339)	COMPLETED	0	2024-01-24 06:26:57.558	13.9s	1.3s	103.8%	50.6 MB	313.1 MB	10.1 MB	633 B
444	fe/60ab46	93899656	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TAEGU03677)	COMPLETED	0	2024-01-24 06:27:12.532	13.9s	1.3s	93.2%	8.5 MB	46.1 MB	10.1 MB	629 B
178	d9/06e3fb	93891661	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (GADMO26877)	COMPLETED	0	2024-01-23 15:15:50.363	15h 11m 41s	1h 6m 58s	1396.6%	68.7 GB	135.4 GB	265.3 KB	66.2 KB
443	0f/1284ef	93899675	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (XENTR21542)	COMPLETED	0	2024-01-24 06:27:32.566	33.9s	142ms	38.5%	3 MB	35.2 MB	96.6 KB	893 B
120	1d/3d5c99	93891669	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CORMO01353)	COMPLETED	0	2024-01-23 15:15:59.009	16h 15m 58s	1h 6m 15s	1413.9%	68.7 GB	135.4 GB	265.3 KB	251.6 KB
137	54/f65ff3	93891666	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (CROPO18142)	COMPLETED	0	2024-01-23 15:15:55.852	16h 16m 46s	1h 7m 20s	1359.8%	68.7 GB	135.4 GB	265.4 KB	232.5 KB
179	a9/15f5b4	93891674	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (GAMAF11908)	COMPLETED	0	2024-01-23 15:16:03.035	16h 16m 39s	1h 6m 4s	1403.1%	68.7 GB	135.4 GB	265.8 KB	98.1 KB
453	48/586a4a	93900165	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TURTR00934)	COMPLETED	0	2024-01-24 07:32:43.689	17.9s	1.3s	103.5%	50.5 MB	308.9 MB	10.1 MB	633 B
454	49/d21778	93900166	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TYTAL35558)	COMPLETED	0	2024-01-24 07:33:02.620	9s	1.3s	103.1%	50.4 MB	308.9 MB	10.1 MB	633 B
449	c1/fa637d	93900167	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (TETNG13660)	COMPLETED	0	2024-01-24 07:33:12.588	14s	1.3s	102.8%	50.6 MB	311.2 MB	10.1 MB	633 B
173	24/905edd	93891680	NFCORE_GETSTRUCTURES:GETSTRUCTURES:MMSEQS_EASYSEARCH_WF:MMSEQS_EASYSEARCH (FICAL13474)	COMPLETED	0	2024-01-23 15:16:09.763	16h 17m 32s	1h 5m 41s	1426.2%	68.7 GB	135.4 GB	265.4 KB	243.8 KB
455	8b/70dd31	93900168	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (URSAM27767)	COMPLETED	0	2024-01-24 07:33:27.575	14.1s	1s	92.0%	9.3 MB	50.3 MB	10.1 MB	641 B
456	40/f666fb	93900169	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (URSMA08275)	COMPLETED	0	2024-01-24 07:33:42.630	14s	1s	93.1%	10.9 MB	51.5 MB	10.1 MB	642 B
457	68/873a59	93900170	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (VARKO11555)	COMPLETED	0	2024-01-24 07:33:43.649	13s	1.6s	76.6%	46.7 MB	258.9 MB	10.1 MB	644 B
459	2d/eefcc3	93900171	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (VULVU34707)	COMPLETED	0	2024-01-24 07:33:57.561	14s	1s	92.3%	9.3 MB	50.3 MB	10.1 MB	641 B
461	c6/b06c8f	93900172	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (XIPMA16239)	COMPLETED	0	2024-01-24 07:33:58.521	13.1s	1.4s	87.1%	54.2 MB	288.8 MB	10.1 MB	643 B
458	38/8a3c43	93900173	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (VOMUR19877)	COMPLETED	0	2024-01-24 07:34:12.649	14s	1.1s	92.8%	9.3 MB	50.3 MB	10.1 MB	643 B
460	63/c5daa4	93900174	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (XENTR21542)	COMPLETED	0	2024-01-24 07:34:13.722	12.9s	1.3s	92.0%	8.5 MB	46.1 MB	10.1 MB	629 B
462	81/ee3ec3	93900175	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (ANAPL03244.tsv)	FAILED	0	2024-01-24 07:34:27.634	14s	1.3s	85.6%	5.6 MB	41.3 MB	9.2 MB	1.7 KB
463	ae/7116da	93900176	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (AMPPE07297.tsv)	COMPLETED	0	2024-01-24 07:34:28.675	13s	1.3s	85.3%	5.6 MB	41.3 MB	8.9 MB	1.9 KB
464	3b/ce5176	93900177	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (AMPOC05179.tsv)	COMPLETED	0	2024-01-24 07:34:42.660	34s	1s	90.8%	8.1 MB	78.9 MB	8.9 MB	1.9 KB
465	a0/3084db	93900178	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (AILME04103.tsv)	COMPLETED	0	2024-01-24 07:34:43.680	33s	1s	89.5%	8.1 MB	81.9 MB	9 MB	1.1 KB
466	ad/05b4cc	93900179	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (ANATE20873.tsv)	COMPLETED	0	2024-01-24 07:35:17.660	34s	1.2s	103.6%	50 MB	311.2 MB	8.9 MB	841 B
467	8a/2a710e	93900180	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (AOTNA36637.tsv)	COMPLETED	0	2024-01-24 07:35:18.687	32.9s	1.3s	87.3%	7.4 MB	42.9 MB	9 MB	1.1 KB
468	c2/338181	93900182	NFCORE_GETSTRUCTURES:GETSTRUCTURES:FILTER_HITS (ANAPP09801.tsv)	COMPLETED	0	2024-01-24 07:35:52.792	33.8s	1s	86.0%	6.9 MB	42.9 MB	8.9 MB	1.9 KB
